code,city,pref,area_type,trade_radius_km,total_pop,women_40plus,residential_ratio,pop_density,station_density,nearest_station_m,nearest_road_m,station_bonus,road_bonus,location_bonus,comp_in_radius,comp_penalty,barrier_factor,border_bonus,base_score,score_v2,score_v3,score_v4,rank_v3,rank_v4,rank_chg
13102,中央区,東京都,超都心,1.0,169179,48456,0.0103,16513.3241,3.6115,293.0,116.0,1.3,1.0,1.3,2,0.7,1.0,1.0,158.8674,0.1,0.0,5.6,185.0,70.0,115
13203,武蔵野市,東京都,超都心,1.0,150149,44501,0.0143,13786.8765,0.4591,606.0,93.0,1.0,1.0,1.0,2,0.7,1.0,1.0,202.561,0.1,0.0,5.5,185.0,72.0,113
14384,湯河原町,神奈川,ロードサイド,5.0,23426,9654,0.7546,571.3524,0.0244,3060.0,663.0,1.0,1.15,1.15,1,0.85,1.5,1.0,92.7543,27.5,27.5,5.3,6.0,73.0,-67
12217,柏市,千葉県,郊外住宅,3.0,426468,130132,0.0815,3716.8284,0.0959,1800.0,707.0,1.0,1.15,1.15,9,0.3,1.0,1.0,375.102,2.5,2.1,5.0,45.0,74.0,-29
11343,小川町,埼玉県,ロードサイド,5.0,28524,10603,0.6178,472.6416,0.0663,1187.0,802.0,1.0,1.15,1.15,0,1.0,1.3,1.0,83.404,10.4,10.4,4.8,17.0,75.0,-58
14103,横浜市西区,神奈川,超都心,1.0,104935,29581,0.0179,14930.8987,1.5652,82.0,20.0,1.3,1.0,1.3,3,0.55,1.0,1.0,168.5451,0.1,0.0,4.7,185.0,76.0,109
11242,日高市,埼玉県,ロードサイド,5.0,54571,18375,0.3022,1149.3916,0.0842,120.0,207.0,1.0,1.3,1.3,0,1.0,1.3,1.0,70.702,3.3,3.3,4.6,37.0,77.0,-40
12211,成田市,千葉県,ロードサイド,5.0,132906,37854,0.2204,621.4651,0.0608,2524.0,1357.0,1.0,0.85,0.85,0,1.0,1.3,1.0,106.2267,4.5,4.5,4.6,31.0,77.0,-46
11215,狭山市,埼玉県,郊外住宅,3.0,148699,49815,0.0827,3038.2498,0.0817,702.0,877.0,1.0,1.15,1.15,2,0.7,1.0,1.0,145.7046,0.3,0.2,4.5,137.0,79.0,58
14216,座間市,神奈川,都心住宅,2.0,132325,41074,0.0483,7542.1176,0.171,1128.0,240.0,1.0,1.0,1.0,2,0.7,1.0,1.0,157.8717,0.3,0.3,4.3,122.0,80.0,42
14115,横浜市栄区,神奈川,郊外住宅,3.0,120194,40928,0.1909,6499.2479,0.0541,863.0,195.0,1.0,1.3,1.3,6,0.3,1.0,1.0,276.3338,0.5,0.4,4.2,111.0,81.0,30
14133,川崎市中原区,神奈川,超都心,1.0,263683,65546,0.0092,17906.1029,0.6112,625.0,264.0,1.0,1.0,1.0,3,0.55,1.0,1.0,191.9482,0.1,0.0,4.1,185.0,82.0,103
12231,印西市,千葉県,ロードサイド,5.0,102609,30122,0.1876,828.8435,0.0404,1373.0,13.0,1.0,1.3,1.3,1,0.85,1.3,1.0,71.9493,4.7,4.7,4.0,28.0,83.0,-55
12216,習志野市,千葉県,超都心,1.0,176197,52198,0.006,8417.1907,0.3344,897.0,967.0,1.0,1.0,1.0,0,1.0,1.0,1.0,99.6908,0.1,0.0,3.9,185.0,84.0,101
14401,愛川町,神奈川,ロードサイド,5.0,39869,12595,0.4384,1163.9802,0.0584,4668.0,133.0,1.0,1.3,1.3,1,0.85,1.3,1.0,70.3038,2.6,2.6,3.9,43.0,84.0,-41
13210,小金井市,東京都,都心住宅,2.0,126074,35256,0.036,11141.2559,0.2651,385.0,348.0,1.15,1.0,1.15,1,0.85,1.0,1.0,101.001,0.1,0.1,3.8,155.0,86.0,69
11211,本庄市,埼玉県,ロードサイド,5.0,78569,25392,0.2879,875.9762,0.0334,1179.0,673.0,1.0,1.15,1.15,2,0.7,1.3,1.0,93.0784,5.5,4.6,3.8,30.0,86.0,-56
13114,中野区,東京都,超都心,1.0,344880,90418,0.0061,22078.6379,0.8963,632.0,111.0,1.0,1.0,1.0,3,0.55,1.0,1.0,175.5638,0.0,0.0,3.7,185.0,88.0,97
13305,日の出町,東京都,ロードサイド,5.0,16958,6006,0.7235,604.1422,0.0,2930.0,1528.0,1.0,0.85,0.85,0,1.0,1.95,1.0,55.3266,9.7,9.7,3.6,18.0,89.0,-71
14152,相模原市中央区,神奈川,都心住宅,2.0,273875,81624,0.0483,7428.7624,0.1627,617.0,525.0,1.0,1.0,1.0,5,0.3,1.0,1.0,313.7293,0.7,0.7,3.6,83.0,89.0,-6
14114,横浜市瀬谷区,神奈川,都心住宅,2.0,122623,40326,0.0703,7132.3093,0.1163,532.0,279.0,1.0,1.0,1.0,4,0.4,1.0,1.0,225.5956,0.2,0.1,3.5,155.0,91.0,64
