code,city,pref,area_km2
14153,相模原市南区,神奈川,38.104
14201,横須賀市,神奈川,100.793
14203,平塚市,神奈川,67.646
14204,鎌倉市,神奈川,39.653
14205,藤沢市,神奈川,69.552
14206,小田原市,神奈川,113.583
14207,茅ヶ崎市,神奈川,35.67
14208,逗子市,神奈川,17.273
14210,三浦市,神奈川,32.043
14211,秦野市,神奈川,103.747
14212,厚木市,神奈川,93.824
14213,大和市,神奈川,27.084
14214,伊勢原市,神奈川,55.55
14215,海老名市,神奈川,26.582
14216,座間市,神奈川,17.564
14217,南足柄市,神奈川,77.118
14218,綾瀬市,神奈川,22.138
14301,葉山町,神奈川,17.039
14321,寒川町,神奈川,13.336
14341,大磯町,神奈川,17.365
14342,二宮町,神奈川,9.074
14361,中井町,神奈川,19.992
14362,大井町,神奈川,14.379
14363,松田町,神奈川,37.745
14364,山北町,神奈川,224.591
14366,開成町,神奈川,6.549
14382,箱根町,神奈川,92.854
14383,真鶴町,神奈川,7.045
14384,湯河原町,神奈川,40.963
14401,愛川町,神奈川,34.272
14402,清川村,神奈川,71.235
22101,静岡市葵区,静岡県,1074.372
22102,静岡市駿河区,静岡県,73.081
22103,静岡市清水区,静岡県,265.161
22131,浜松市中区,静岡県,44.376
22132,浜松市東区,静岡県,46.32
22133,浜松市西区,静岡県,114.798
22134,浜松市南区,静岡県,47.349
22135,浜松市北区,静岡県,295.77
22136,浜松市浜北区,静岡県,66.548
22137,浜松市天竜区,静岡県,944.385
22203,沼津市,静岡県,186.826
22205,熱海市,静岡県,61.77
22206,三島市,静岡県,62.019
22207,富士宮市,静岡県,387.721
22208,伊東市,静岡県,124.013
22209,島田市,静岡県,315.829
22210,富士市,静岡県,244.969
22211,磐田市,静岡県,163.07
22212,焼津市,静岡県,70.323
22213,掛川市,静岡県,265.817
22214,藤枝市,静岡県,194.128
22215,御殿場市,静岡県,194.901
22216,袋井市,静岡県,108.389
22219,下田市,静岡県,104.372
22220,裾野市,静岡県,138.12
22221,湖西市,静岡県,86.638
22222,伊豆市,静岡県,363.959
22223,御前崎市,静岡県,65.593
22224,菊川市,静岡県,94.23
22225,伊豆の国市,静岡県,94.618
22226,牧之原市,静岡県,111.728
22301,東伊豆町,静岡県,77.81
22302,河津町,静岡県,100.69
22304,南伊豆町,静岡県,109.945
22305,松崎町,静岡県,85.11
22306,西伊豆町,静岡県,105.407
22325,函南町,静岡県,65.156
22341,清水町,静岡県,8.808
22342,長泉町,静岡県,26.631
22344,小山町,静岡県,131.801
22424,吉田町,静岡県,20.736
22429,川根本町,静岡県,496.786
22461,森町,静岡県,133.978
