lat,lng,women_40plus
35.921728,140.01478,3116
35.921254,140.005149,677
35.921622,140.023552,460
35.917474,140.031856,1199
35.908886,140.036532,417
35.902016,140.045033,1268
35.931487,140.033739,814
35.933337,140.022219,222
35.940537,140.022469,22
35.947509,140.022846,41
35.926302,140.097925,975
35.920132,140.110863,972
35.921977,140.116731,135
35.918258,140.121405,2150
35.914821,140.127882,61
35.910565,140.132093,69
35.902749,140.139518,186
35.89419,140.143041,28
35.890502,140.128987,121
35.914729,140.087457,56
35.908315,140.091438,568
35.899064,140.095856,44
35.920619,140.099602,87
35.916743,140.103141,594
35.906818,140.108898,78
35.910938,140.10135,36
35.901505,140.11668,46
35.927093,140.053016,157
35.929941,140.060972,151
35.929257,140.07468,292
35.93876,140.073465,60
35.939623,140.081432,53
35.930666,140.087831,88
35.940249,140.094197,115
35.938585,140.105803,135
35.938386,140.114517,75
35.932311,140.114588,37
35.934681,140.125933,135
35.928469,140.117771,41
35.93828,140.123015,891
35.903268,140.125214,1594
35.918879,140.116997,487
35.937351,140.0932,256
35.907333,140.097559,162
35.926684,140.040487,546
35.965379,140.137553,1651
35.981688,140.135625,1607
35.952261,140.150831,500
35.971042,140.120137,81
35.950827,140.142279,33
35.990154,140.160751,1816
35.974536,140.162617,673
35.99828,140.141945,746
36.003647,140.150274,72
36.000119,140.155272,63
36.018173,140.147479,93
35.994596,140.16929,431
35.977117,140.178082,967
35.960536,140.189891,33
35.964819,140.177753,15
35.951196,140.175287,369
35.969496,140.223858,239
35.975175,140.243619,109
35.96481,140.253536,86
35.949736,140.259028,139
35.952379,140.235513,100
35.955441,140.224174,63
35.96473,140.205023,929
35.973013,140.19895,50
35.97465,140.12763,1736
35.984341,140.150254,1467
35.973468,140.146219,3578
35.968312,140.154639,1998
35.978889,140.146578,1124
35.95996,140.167914,1813
35.985086,140.142001,890
36.003451,140.165933,2376
36.010957,140.157662,1535
36.031125,140.077612,1955
36.021897,140.091733,56
36.018686,140.072389,123
36.022531,140.067141,64
36.021523,140.049641,8
36.032818,140.057572,75
36.031464,140.050724,7
36.029478,140.062583,17
36.046722,140.074703,289
36.019457,140.059109,25
36.044324,140.090696,753
36.013986,140.080051,48
36.004604,140.08219,54
36.006484,140.073475,15
36.012979,140.074151,32
36.007947,140.086569,409
36.010509,140.088657,17
36.04743,140.039196,598
36.05832,140.03089,90
36.067299,140.021044,176
36.065374,140.011314,127
36.062357,140.051314,424
36.082929,140.02972,190
36.070479,140.032029,34
36.082232,140.038591,92
36.08426,140.049443,174
36.083076,140.05907,24
36.075707,140.067377,87
36.067336,140.044911,73
36.06205,140.065576,33
36.099342,140.089297,52
36.101007,140.094265,97
36.08981,140.090261,86
36.08015,140.088577,14
36.080788,140.099197,253
36.071876,140.083411,61
36.069383,140.088491,50
36.071478,140.108576,486
36.065216,140.089686,25
36.052516,140.067572,49
36.055897,140.072152,20
36.056101,140.076172,75
36.058811,140.085783,10
36.063229,140.085086,194
36.048063,140.107697,49
36.042176,140.112722,68
36.041721,140.103609,138
36.036509,140.109698,63
36.043197,140.122908,322
36.042857,140.133437,115
