lat,lng,women_40plus
36.091403,140.188042,34
36.084583,140.244569,232
36.065299,140.204216,55
36.083074,140.199036,381
36.111067,140.197577,484
36.09456,140.234159,355
36.083935,140.206615,401
36.097098,140.193076,109
36.060353,140.185606,549
36.060932,140.179005,550
36.063366,140.17289,238
36.071469,140.18319,1133
36.121399,140.207582,338
36.117564,140.190698,1324
36.126455,140.184142,128
36.118121,140.235179,371
36.052322,140.175626,705
36.040826,140.162518,1267
36.033819,140.166467,284
36.049599,140.155343,245
36.094855,140.19751,174
36.046503,140.165127,667
36.046973,140.152127,131
36.072634,140.215607,47
36.072847,140.208184,184
36.093914,140.206683,339
36.073414,140.200483,665
36.085236,140.193926,416
36.103807,140.199522,1750
36.089917,140.209545,306
36.049123,140.188392,2157
36.07781,140.216598,746
36.094919,140.176611,220
36.095568,140.156444,74
36.079186,140.204244,304
36.10796,140.202901,319
36.108404,140.207862,308
36.044366,140.172151,383
36.109031,140.249487,173
36.091859,140.253465,526
36.109848,140.200299,184
36.099173,140.210664,243
36.069205,140.215345,278
36.126708,140.156907,838
36.12877,140.170829,385
36.114031,140.164297,115
36.107812,140.171548,145
36.146657,140.15942,147
36.137525,140.144193,57
36.125381,140.141776,283
36.129246,140.130529,125
36.115239,140.144112,41
36.150306,140.187723,188
36.149453,140.174493,262
36.154668,140.165309,76
36.16458,140.160075,71
36.157399,140.150513,51
36.145945,140.146037,39
36.201206,139.692947,874
36.179003,139.712808,51
36.147142,139.723297,1035
36.143683,139.713414,1216
36.156686,139.708854,462
36.163299,139.718209,388
36.163805,139.707823,296
36.162709,139.700915,46
36.170639,139.700211,368
36.173094,139.701248,20
36.175641,139.706991,974
36.181393,139.698129,75
36.164938,139.705543,392
36.208707,139.717083,479
36.205317,139.714333,325
36.202563,139.711313,359
36.202821,139.7155,347
36.205003,139.720095,376
36.203524,139.724172,690
36.199924,139.71554,448
36.199021,139.709969,962
36.196744,139.726157,597
36.192483,139.726143,870
36.190137,139.722823,300
36.188301,139.719874,241
36.20816,139.7106,755
36.201493,139.703714,552
36.201323,139.699961,296
36.19757,139.697539,246
36.197541,139.700618,197
36.191319,139.70244,530
36.192772,139.706771,1449
36.194368,139.69774,148
36.189728,139.698041,367
36.184752,139.710519,479
36.183288,139.707298,455
36.185991,139.702125,478
36.16244,139.710847,424
36.210819,139.781917,550
36.191612,139.778971,344
36.211379,139.763817,1263
36.193626,139.761315,962
36.160271,139.774108,828
36.179479,139.763605,1047
36.173727,139.782245,287
36.161345,139.790293,361
36.140963,139.77357,250
36.155021,139.748278,340
36.164942,139.743097,434
36.160742,139.727226,46
36.15396,139.731004,40
36.16733,139.75673,1312
36.139458,139.755727,609
36.142381,139.739363,284
36.186829,139.733175,2083
36.171391,139.728582,618
36.17726,139.718234,474
36.201386,139.736779,784
36.204286,139.747814,399
36.178678,139.741927,1403
36.203941,139.807689,2466
36.209532,139.815595,54
36.226657,139.815498,144
36.226543,139.808336,269
36.223824,139.796785,310
36.207381,139.798695,153
36.194171,139.793598,407
36.178079,139.789594,70
36.186696,139.804467,1359
36.195674,139.829026,306
36.17438,139.824595,1755
36.142767,139.812894,370
36.166995,139.803141,439
36.173918,139.79767,95
36.15265,139.845237,201
36.16343,139.848785,399
36.209968,139.847164,1762
36.18229,139.835813,64
36.193116,139.85814,510
36.182941,140.272193,774
36.198387,140.272374,903
36.195485,140.262506,471
36.187064,140.268655,381
36.203492,140.26897,908
36.204235,140.257599,560
36.207198,140.273219,493
36.209805,140.265023,128
36.212344,140.255011,59
36.185059,140.295204,996
36.193255,140.299164,666
36.183434,140.301754,878
36.183778,140.281656,243
36.180233,140.284412,479
36.18017,140.278035,62
36.217597,140.27786,207
36.212633,140.286397,28
36.208722,140.292781,242
36.204923,140.299772,140
36.200003,140.300594,86
36.195407,140.278856,56
36.199379,140.279525,71
36.207687,140.284394,300
36.210002,140.250019,37
36.180023,140.301669,1299
36.179088,140.292727,85
36.18474,140.260728,1741
36.190336,140.283992,176
36.201728,140.246077,234
36.217744,140.242097,70
36.162641,140.300562,411
36.17017,140.28311,115
36.164482,140.290134,86
36.173709,140.30514,261
36.194375,140.314002,417
36.188879,140.33615,51
36.147265,140.278535,762
36.140415,140.301866,226
36.135067,140.322492,217
36.238387,140.253487,50
36.236539,140.265336,166
36.228552,140.254972,60
36.22625,140.266611,142
36.220315,140.268936,117
36.220332,140.248615,230
36.242983,140.189289,1399
36.230096,140.198751,55
36.22111,140.198751,173
