code,city,area_type,nearest_road_m,road_bonus
14151,相模原市緑区,ロードサイド,643.0,1.15
14152,相模原市中央区,都心住宅,525.0,1.0
14153,相模原市南区,都心住宅,1233.0,1.0
14201,横須賀市,郊外住宅,432.0,1.3
14203,平塚市,郊外住宅,469.0,1.3
14204,鎌倉市,郊外住宅,990.0,1.15
14205,藤沢市,都心住宅,541.0,1.0
14206,小田原市,ロードサイド,17.0,1.3
14207,茅ヶ崎市,郊外住宅,646.0,1.15
14208,逗子市,郊外住宅,298.0,1.3
14210,三浦市,ロードサイド,34.0,1.3
14211,秦野市,ロードサイド,1318.0,0.85
14212,厚木市,郊外住宅,495.0,1.3
14213,大和市,超都心,589.0,1.0
14214,伊勢原市,ロードサイド,1066.0,0.85
14215,海老名市,都心住宅,800.0,1.0
14216,座間市,都心住宅,240.0,1.0
14217,南足柄市,ロードサイド,2258.0,0.85
14218,綾瀬市,郊外住宅,402.0,1.3
14301,葉山町,ロードサイド,546.0,1.15
14321,寒川町,郊外住宅,140.0,1.3
14341,大磯町,ロードサイド,781.0,1.15
14342,二宮町,郊外住宅,71.0,1.3
14361,中井町,ロードサイド,403.0,1.3
14362,大井町,ロードサイド,641.0,1.15
14363,松田町,ロードサイド,3614.0,0.85
14364,山北町,ロードサイド,240.0,1.3
14366,開成町,郊外住宅,527.0,1.15
14382,箱根町,ロードサイド,1520.0,0.85
14383,真鶴町,ロードサイド,361.0,1.3
14384,湯河原町,ロードサイド,663.0,1.15
14401,愛川町,ロードサイド,133.0,1.3
14402,清川村,ロードサイド,675.0,1.15
