code,fishery,manufacturing,agriculture,commerce,fishery_year,manufacturing_year,agriculture_year,commerce_year
12322,,794.0,930.0,2290.0,,2023100000,2006100000,2021100000
12323,,2178.0,18800.0,3493.0,,1991100000,1991100000,1991100000
12324,,1685.0,13050.0,4441.0,,2001100000,2001100000,1999100000
12325,,203.0,2460.0,538.0,,2009100000,2006100000,2007100000
12326,,4389.0,3900.0,3202.0,,2000100000,2000100000,1999100000
12327,,664.0,4280.0,2399.0,,1995100000,1995100000,1994100000
12328,,311.0,1580.0,243.0,,2009100000,2006100000,2007100000
12329,,877.0,2240.0,1043.0,,2023100000,2006100000,2021100000
12341,,494.0,2350.0,266.0,,2005100000,2005100000,2004100000
12342,,778.0,1390.0,313.0,,2023100000,2006100000,2021100000
12343,,1012.0,8290.0,822.0,,2005100000,2005100000,2004100000
12344,,1730.0,6120.0,2173.0,,2005100000,2005100000,2004100000
12345,,347.0,11210.0,463.0,,2005100000,2005100000,2004100000
12346,,523.0,4320.0,205.0,,2005100000,2005100000,2004100000
12347,,1553.0,10110.0,883.0,,2023100000,2006100000,2021100000
12348,,726.0,9700.0,359.0,,2004100000,2004100000,2004100000
12349,,1063.0,8550.0,552.0,,2023100000,2006100000,2021100000
12361,,272.0,10410.0,438.0,,2004100000,2004100000,2004100000
12362,,365.0,6540.0,679.0,,2004100000,2004100000,2004100000
12381,,736.0,4510.0,604.0,,2005100000,2005100000,2004100000
12382,,562.0,5790.0,665.0,,2005100000,2005100000,2004100000
12402,,564.0,3810.0,1742.0,,2012100000,2006100000,2011100000
12403,,976.0,2190.0,645.0,,2023100000,2006100000,2021100000
12404,,1400.0,5620.0,1592.0,,2005100000,2005100000,2004100000
12405,,728.0,5510.0,423.0,,2005100000,2005100000,2004100000
12406,,180.0,1290.0,201.0,,2005100000,2005100000,2004100000
12407,,1666.0,5010.0,1010.0,,2005100000,2005100000,2004100000
12408,,1017.0,3720.0,1079.0,,2005100000,2005100000,2004100000
12409,,1702.0,5930.0,1067.0,,2023100000,2006100000,2021100000
12410,,1347.0,7320.0,1160.0,,2023100000,2006100000,2021100000
12421,,260.0,2620.0,595.0,,2023100000,2006100000,2021100000
12422,,229.0,1720.0,243.0,,2023100000,2006100000,2021100000
12423,,1134.0,2110.0,568.0,,2023100000,2006100000,2021100000
12424,,464.0,3390.0,416.0,,2023100000,2006100000,2021100000
12426,,1107.0,1450.0,182.0,,2023100000,2006100000,2021100000
12427,,1440.0,1950.0,244.0,,2023100000,2006100000,2021100000
12441,,895.0,2140.0,768.0,,2023100000,2006100000,2021100000
12442,,594.0,2190.0,530.0,,2004100000,2004100000,2004100000
12443,,98.0,540.0,254.0,,2023100000,2006100000,2021100000
12444,,815.0,2360.0,1814.0,,2004100000,2004100000,2004100000
12445,,218.0,1980.0,717.0,,2004100000,2004100000,2004100000
12461,,100.0,2170.0,387.0,,2005100000,2005100000,2004100000
12462,,125.0,2590.0,378.0,,2005100000,2005100000,2004100000
12463,,120.0,2030.0,492.0,,2023100000,2006100000,2021100000
12464,,306.0,2230.0,187.0,,2005100000,2005100000,2004100000
12465,,73.0,1410.0,404.0,,2005100000,2005100000,2004100000
12466,,627.0,2100.0,978.0,,2005100000,2005100000,2004100000
12467,,65.0,3540.0,257.0,,2005100000,2005100000,2004100000
12468,,209.0,2290.0,323.0,,2005100000,2005100000,2004100000
12472,,194.0,180.0,605.0,,2004100000,2004100000,2004100000
12481,,4828.0,9870.0,2397.0,,1990100000,1990100000,1988100000
13100,,149983.0,4960.0,1332336.0,,2023100000,2006100000,2021100000
13101,,3048.0,,164686.0,,2023100000,,2021100000
13102,,2923.0,,156286.0,,2023100000,,2021100000
13103,,2436.0,,168399.0,,2023100000,,2021100000
13104,,5311.0,,75448.0,,2023100000,,2021100000
13105,,5271.0,,30935.0,,2023100000,,2021100000
13106,,5080.0,,57994.0,,2023100000,,2021100000
13107,,12116.0,,32420.0,,2023100000,,2021100000
13108,,11630.0,,69195.0,,2023100000,,2021100000
13109,,6790.0,,79601.0,,2023100000,,2021100000
13110,,2242.0,,22714.0,,2023100000,,2021100000
13111,,22635.0,,66806.0,,2023100000,,2021100000
13112,,2113.0,,44673.0,,2023100000,,2021100000
13113,,1921.0,,78381.0,,2023100000,,2021100000
13114,,860.0,,19928.0,,2023100000,,2021100000
13115,,1074.0,,26229.0,,2023100000,,2021100000
13116,,3159.0,,41470.0,,2023100000,,2021100000
13117,,7657.0,,20038.0,,2023100000,,2021100000
13118,,4869.0,,12819.0,,2023100000,,2021100000
13119,,14780.0,,32746.0,,2023100000,,2021100000
13120,,2886.0,,32250.0,,2023100000,,2021100000
13121,,12280.0,,40590.0,,2023100000,,2021100000
13122,,8698.0,,23661.0,,2023100000,,2021100000
13123,,10204.0,,33458.0,,2023100000,,2021100000
13201,,16778.0,2600.0,36379.0,,2023100000,2006100000,2021100000
13202,,3865.0,1070.0,18569.0,,2023100000,2006100000,2021100000
13203,,692.0,160.0,14644.0,,2023100000,2006100000,2021100000
13204,,1518.0,580.0,7554.0,,2023100000,2006100000,2021100000
13205,,7389.0,920.0,7799.0,,2023100000,2006100000,2021100000
13206,,12855.0,910.0,14598.0,,2023100000,2006100000,2021100000
13207,,8531.0,300.0,7935.0,,2023100000,2006100000,2021100000
13208,,2017.0,580.0,13837.0,,2023100000,2006100000,2021100000
13209,,5448.0,1660.0,24343.0,,2023100000,2006100000,2021100000
13210,,542.0,200.0,5058.0,,2023100000,2006100000,2021100000
13211,,2694.0,950.0,7945.0,,2023100000,2006100000,2021100000
13212,,13071.0,820.0,7104.0,,2023100000,2006100000,2021100000
13213,,2937.0,810.0,5892.0,,2023100000,2006100000,2021100000
13214,,897.0,490.0,5793.0,,2023100000,2006100000,2021100000
13215,,330.0,270.0,4944.0,,2023100000,2006100000,2021100000
13216,,5156.0,240.0,5008.0,,2000100000,2000100000,1999100000
13217,,874.0,510.0,5984.0,,2000100000,2000100000,1999100000
13218,,1189.0,40.0,2774.0,,2023100000,2006100000,2021100000
13219,,299.0,160.0,2813.0,,2023100000,2006100000,2021100000
13220,,1232.0,230.0,4228.0,,2023100000,2006100000,2021100000
13221,,819.0,970.0,2503.0,,2023100000,2006100000,2021100000
13222,,3814.0,750.0,6899.0,,2023100000,2006100000,2021100000
13223,,5441.0,620.0,5170.0,,2023100000,2006100000,2021100000
13224,,895.0,90.0,10751.0,,2023100000,2006100000,2021100000
13225,,1273.0,1150.0,4288.0,,2023100000,2006100000,2021100000
13226,,2601.0,820.0,2591.0,,1994100000,1994100000,1994100000
13227,,8661.0,170.0,2916.0,,2023100000,2006100000,2021100000
13228,,2047.0,990.0,3385.0,,2023100000,2006100000,2021100000
13229,,891.0,690.0,9608.0,,2023100000,2006100000,2021100000
13302,,10593.0,330.0,3810.0,,1990100000,1990100000,1991100000
13303,,6641.0,690.0,3164.0,,2023100000,2006100000,2021100000
13305,,1601.0,220.0,1676.0,,2023100000,2006100000,2021100000
13306,,1207.0,330.0,1067.0,,1994100000,1994100000,1994100000
13307,,56.0,70.0,57.0,,2023100000,2006100000,2021100000
13308,,87.0,130.0,125.0,,2023100000,2006100000,2021100000
13361,,89.0,730.0,420.0,,2023100000,2006100000,2021100000
13362,,0.0,20.0,10.0,,2023100000,2006100000,2021100000
13363,,18.0,100.0,193.0,,2023100000,2006100000,2021100000
13364,,6.0,190.0,147.0,,2023100000,2006100000,2021100000
13381,,12.0,120.0,117.0,,2023100000,2006100000,2021100000
13382,,0.0,40.0,20.0,,2023100000,2006100000,2021100000
13401,,60.0,2270.0,447.0,,2023100000,2006100000,2021100000
13402,,13.0,40.0,4.0,,2023100000,2006100000,2021100000
13421,,2.0,90.0,130.0,,2023100000,2006100000,2021100000
14100,,91029.0,10140.0,237013.0,,2023100000,2006100000,2021100000
14101,,16171.0,,13425.0,,2023100000,,2021100000
14102,,5141.0,,18454.0,,2023100000,,2021100000
14103,,1163.0,,27200.0,,2023100000,,2021100000
14104,,1439.0,,19050.0,,2023100000,,2021100000
14105,,922.0,,7088.0,,2023100000,,2021100000
14106,,1746.0,,7470.0,,2023100000,,2021100000
14107,,7980.0,,6789.0,,2023100000,,2021100000
14108,,14293.0,,11059.0,,2023100000,,2021100000
14109,,11061.0,,28928.0,,2023100000,,2021100000
14110,,6581.0,,14649.0,,2023100000,,2021100000
14111,,591.0,,12073.0,,2023100000,,2021100000
14112,,1821.0,,9512.0,,2023100000,,2021100000
14113,,3679.0,,7894.0,,2023100000,,2021100000
14114,,1649.0,,6259.0,,2023100000,,2021100000
14115,,3491.0,,2917.0,,2023100000,,2021100000
14116,,1315.0,,6725.0,,2023100000,,2021100000
14117,,1170.0,,14917.0,,2023100000,,2021100000
14118,,10816.0,,22604.0,,2023100000,,2021100000
14130,,50062.0,2600.0,82987.0,,2023100000,2006100000,2021100000
14131,,26762.0,,19888.0,,2023100000,,2021100000
14132,,4630.0,,12873.0,,2023100000,,2021100000
14133,,6395.0,,13322.0,,2023100000,,2021100000
14134,,6651.0,,11837.0,,2023100000,,2021100000
14135,,1630.0,,7689.0,,2023100000,,2021100000
14136,,1291.0,,10121.0,,2023100000,,2021100000
14137,,2703.0,,7257.0,,2023100000,,2021100000
14150,,36183.0,,38487.0,,2023100000,,2021100000
14151,,10542.0,,10117.0,,2023100000,,2021100000
14152,,18398.0,,15050.0,,2023100000,,2021100000
14153,,7243.0,,13320.0,,2023100000,,2021100000
14201,,13697.0,2890.0,19864.0,,2023100000,2006100000,2021100000
14203,,19002.0,6440.0,17103.0,,2023100000,2006100000,2021100000
14204,,6614.0,320.0,11035.0,,2023100000,2006100000,2021100000
14205,,24435.0,5150.0,25866.0,,2023100000,2006100000,2021100000
14206,,10081.0,4460.0,13444.0,,2023100000,2006100000,2021100000
14207,,6245.0,2110.0,10263.0,,2023100000,2006100000,2021100000
14208,,125.0,20.0,2457.0,,2023100000,2006100000,2021100000
14209,,38891.0,4290.0,45649.0,,2009100000,2006100000,2007100000
14210,,574.0,9650.0,2956.0,,2023100000,2006100000,2021100000
14211,,12435.0,3000.0,8084.0,,2023100000,2006100000,2021100000
14212,,21193.0,2850.0,18237.0,,2023100000,2006100000,2021100000
14213,,8943.0,520.0,14177.0,,2023100000,2006100000,2021100000
14214,,5961.0,4030.0,6602.0,,2023100000,2006100000,2021100000
14215,,6526.0,1770.0,10616.0,,2023100000,2006100000,2021100000
14216,,7563.0,440.0,7024.0,,2023100000,2006100000,2021100000
14217,,4315.0,1160.0,1595.0,,2023100000,2006100000,2021100000
14218,,10055.0,1420.0,4065.0,,2023100000,2006100000,2021100000
14301,,148.0,130.0,1228.0,,2023100000,2006100000,2021100000
14321,,7849.0,960.0,2539.0,,2023100000,2006100000,2021100000
14341,,214.0,1080.0,1420.0,,2023100000,2006100000,2021100000
14342,,361.0,420.0,1150.0,,2023100000,2006100000,2021100000
14361,,2518.0,1310.0,818.0,,2023100000,2006100000,2021100000
14362,,547.0,560.0,1263.0,,2023100000,2006100000,2021100000
14363,,326.0,530.0,237.0,,2023100000,2006100000,2021100000
14364,,1651.0,570.0,446.0,,2023100000,2006100000,2021100000
14366,,1070.0,290.0,1030.0,,2023100000,2006100000,2021100000
14382,,44.0,10.0,1026.0,,2023100000,2006100000,2021100000
14383,,84.0,110.0,282.0,,2023100000,2006100000,2021100000
14384,,240.0,600.0,1238.0,,2023100000,2006100000,2021100000
14401,,7130.0,2920.0,2366.0,,2023100000,2006100000,2021100000
14402,,530.0,500.0,37.0,,2023100000,2006100000,2021100000
14421,,1497.0,260.0,1596.0,,2006100000,2006100000,2004100000
14422,,1644.0,440.0,1370.0,,2005100000,2005100000,2004100000
14423,,420.0,140.0,438.0,,2005100000,2005100000,2004100000
14424,,556.0,120.0,345.0,,2006100000,2006100000,2004100000
22100,,50402.0,22140.0,62488.0,,2023100000,2006100000,2021100000
22101,,6175.0,,24816.0,,2023100000,,2021100000
22102,,16871.0,,22246.0,,2023100000,,2021100000
22103,,27356.0,,15426.0,,2023100000,,2021100000
22130,,72296.0,,61255.0,,2023100000,,2021100000
22131,,8692.0,,19536.0,,2023100000,,2021100000
22132,,11784.0,,14986.0,,2023100000,,2021100000
22133,,9007.0,,7553.0,,2023100000,,2021100000
22134,,13008.0,,7623.0,,2023100000,,2021100000
22135,,16745.0,,5077.0,,2023100000,,2021100000
22136,,11261.0,,5619.0,,2023100000,,2021100000
22137,,1799.0,,861.0,,2023100000,,2021100000
22201,,46173.0,23550.0,76227.0,,2004100000,2004100000,2004100000
22202,,92056.0,54050.0,58004.0,,2006100000,2006100000,2004100000
22203,,17640.0,7020.0,16606.0,,2023100000,2006100000,2021100000
22204,,24416.0,9330.0,21032.0,,2002100000,2002100000,2002100000
22205,,198.0,640.0,2411.0,,2023100000,2006100000,2021100000
22206,,7025.0,4070.0,6187.0,,2023100000,2006100000,2021100000
22207,,20445.0,11410.0,7602.0,,2023100000,2006100000,2021100000
22208,,655.0,910.0,4784.0,,2023100000,2006100000,2021100000
22209,,10871.0,9780.0,6204.0,,2023100000,2006100000,2021100000
22210,,34578.0,6320.0,17195.0,,2023100000,2006100000,2021100000
22211,,38278.0,13710.0,10184.0,,2023100000,2006100000,2021100000
22212,,16508.0,2570.0,9552.0,,2023100000,2006100000,2021100000
22213,,20231.0,20360.0,7124.0,,2023100000,2006100000,2021100000
22214,,12845.0,6690.0,9932.0,,2023100000,2006100000,2021100000
22215,,8595.0,2540.0,6834.0,,2023100000,2006100000,2021100000
22216,,13895.0,11370.0,5649.0,,2023100000,2006100000,2021100000
22217,,2693.0,1040.0,1532.0,,2004100000,2004100000,2004100000
22218,,11967.0,5550.0,5374.0,,2004100000,2004100000,2004100000
22219,,119.0,510.0,1864.0,,2023100000,2006100000,2021100000
22220,,5215.0,960.0,3435.0,,2023100000,2006100000,2021100000
22221,,23113.0,6110.0,2953.0,,2023100000,2006100000,2021100000
22222,,894.0,2920.0,1738.0,,2023100000,2006100000,2021100000
22223,,3791.0,7280.0,1724.0,,2023100000,2006100000,2021100000
22224,,8669.0,10690.0,2590.0,,2023100000,2006100000,2021100000
22225,,3801.0,3800.0,2524.0,,2023100000,2006100000,2021100000
22226,,11999.0,14060.0,3530.0,,2023100000,2006100000,2021100000
22301,,54.0,1180.0,545.0,,2023100000,2006100000,2021100000
22302,,112.0,1320.0,480.0,,2023100000,2006100000,2021100000
22304,,119.0,690.0,370.0,,2023100000,2006100000,2021100000
22305,,96.0,470.0,434.0,,2023100000,2006100000,2021100000
22306,,245.0,400.0,464.0,,2023100000,2006100000,2021100000
22307,,189.0,130.0,225.0,,2004100000,2004100000,2004100000
22321,,970.0,650.0,923.0,,2004100000,2004100000,2004100000
22322,,586.0,780.0,1386.0,,2003100000,2003100000,2002100000
22323,,244.0,190.0,285.0,,2004100000,2004100000,2004100000
22324,,139.0,310.0,533.0,,2003100000,2003100000,2002100000
22325,,1344.0,2630.0,2043.0,,2023100000,2006100000,2021100000
22326,,907.0,2190.0,831.0,,2004100000,2004100000,2004100000
22327,,2896.0,1070.0,1609.0,,2004100000,2004100000,2004100000
22328,,417.0,690.0,547.0,,2003100000,2003100000,2002100000
22329,,338.0,1380.0,243.0,,2003100000,2003100000,2002100000
22341,,3840.0,240.0,3769.0,,2023100000,2006100000,2021100000
22342,,4953.0,1960.0,2764.0,,2023100000,2006100000,2021100000
22344,,2463.0,670.0,745.0,,2023100000,2006100000,2021100000
