code,city,pref,total_pop,area_km2,n_stations,pop_density,station_density
13219,狛江市,東京都,84772,6.36784896796612,2,13312.501666803199,0.3140778008494125
13229,西東京市,東京都,207388,15.783790131614259,5,13139.302934889552,0.31678069451678864
13121,足立区,東京都,695043,53.19648381705064,27,13065.581597278868,0.5075523429867352
13122,葛飾区,東京都,453093,34.81740516551098,12,13013.40515888931,0.34465520744454614
13103,港区,東京都,260486,20.519915611141556,40,12694.301718208126,1.949325755427643
14136,川崎市宮前区,神奈川,233728,18.595835115439975,3,12568.835900568805,0.16132644656055933
11105,さいたま市中央区,埼玉県,103269,8.387817042025452,4,12311.784995141366,0.4768821231983022
13108,江東区,東京都,524310,42.88352228889846,32,12226.374421107932,0.746207361056348
13111,大田区,東京都,748081,61.813983416074606,45,12102.132214398967,0.7279906181923529
13204,三鷹市,東京都,195391,16.420575264634348,2,11899.156810956645,0.1217984125262335
14109,横浜市港北区,神奈川,358530,31.39078887990869,17,11421.503338817743,0.5415601393465028
13214,国分寺市,東京都,129242,11.431567708059461,4,11305.71093139588,0.34990826299177913
13208,調布市,東京都,242614,21.59253533272846,9,11236.012643325983,0.41681071079959875
13210,小金井市,東京都,126074,11.315959404154354,3,11141.255946333218,0.2651122978488797
14135,川崎市多摩区,神奈川,221734,20.48891544508346,9,10822.144324540492,0.43926190354598044
14111,横浜市港南区,神奈川,215248,19.897176195213063,6,10818.017485907632,0.30155032760093375
14102,横浜市神奈川区,神奈川,247267,23.711094064778198,15,10428.325210320194,0.632615262670728
13211,小平市,東京都,198739,20.532382273402952,7,9679.295726801301,0.3409248818179075
11203,川口市,埼玉県,594274,61.891743767861975,9,9601.829966674552,0.14541519517944745
13215,国立市,東京都,77130,8.136923951547756,3,9479.012027060768,0.36868969377910416
14106,横浜市保土ケ谷区,神奈川,207811,21.93268723190651,6,9474.944761793146,0.27356428952634304
11103,さいたま市大宮区,埼玉県,117784,12.822993592351333,7,9185.374628141113,0.5458943693284979
12227,浦安市,千葉県,171362,18.93932430704524,10,9047.946865572972,0.5280019412456072
11221,草加市,埼玉県,248304,27.48496249177961,4,9034.176418260147,0.14553412620433256
14101,横浜市鶴見区,神奈川,297437,33.210785437399565,13,8956.036302142018,0.39143910114695296
13222,東久留米市,東京都,115271,12.886250265378326,1,8945.270938102161,0.07760209365844108
13206,府中市,東京都,262790,29.43800670199091,15,8926.895175352594,0.5095453694215492
13213,東村山市,東京都,151815,17.11829772238509,9,8868.580419738584,0.5257532113272552
14213,大和市,神奈川,239169,27.062585520659386,10,8837.625651747874,0.36951384384045904
11102,さいたま市北区,埼玉県,149242,16.89471784818745,7,8833.64856051807,0.4143306838800504
14117,横浜市青葉区,神奈川,310756,35.23870153159035,10,8818.59962182254,0.28377890119008287
14107,横浜市磯子区,神奈川,166731,19.03030618711778,7,8761.340903325325,0.3678343338867833
12203,市川市,千葉県,496676,56.898395722934694,17,8729.174059995492,0.2987781954834205
12216,習志野市,千葉県,176197,20.93299359346957,7,8417.190747861687,0.33440033164600874
11228,志木市,埼玉県,75346,9.065773376691332,1,8311.039430317027,0.11030498540489245
12207,松戸市,千葉県,498232,61.34433528132483,23,8121.890924648713,0.37493274471916777
14110,横浜市戸塚区,神奈川,283709,35.83548399929588,4,7916.985298861165,0.11162120762980611
14137,川崎市麻生区,神奈川,180705,23.21996216570403,8,7782.31242197724,0.3445311384622336
11245,ふじみ野市,埼玉県,113597,14.613413300033658,1,7773.474797961018,0.06843028247190523
11224,戸田市,埼玉県,140899,18.219062401973435,3,7733.603238810919,0.1646626996389808
11227,朝霞市,埼玉県,141083,18.304099463001435,3,7707.726910311804,0.16389771078680926
14118,横浜市都筑区,神奈川,213132,27.865967281594383,10,7648.469469810036,0.3588606811651951
11229,和光市,埼玉県,83989,11.052561816199013,2,7599.052726120278,0.18095352310708016
12103,千葉市稲毛区,千葉県,160582,21.227950233217086,9,7564.649353130873,0.42396933764791733
14216,座間市,神奈川,132325,17.544807202282254,3,7542.117646227938,0.1709907646981584
13202,立川市,東京都,183581,24.342725636195393,13,7541.513745980522,0.534040443715563
12204,船橋市,千葉県,642907,85.64664305368494,33,7506.505533404429,0.38530406824369023
14112,横浜市旭区,神奈川,245174,32.71078157936591,4,7495.204582780643,0.12228384058310658
13221,清瀬市,東京都,76208,10.247808383999319,1,7436.51687701239,0.09758184018754448
14152,相模原市中央区,神奈川,273875,36.866840817918636,6,7428.762376267584,0.1627478749707184
